X,Class,Naive,PrIS,ByE,ByE+PrIS,Chaining+PrIS
1,Qg1,-6.6,-29.49,-2.32,-16.44,-22.96
2,Qg2,-5.65,-31.62,-1.8,-16.23,-22.66
3,Qg3,-12.84,-47.11,-5.34,-16.48,-26.72
4,Qg4,-1.18,-3.74,1.31,-0.54,-19.17
5,Qg5,-4.09,-7.94,0.61,-2.3,-31.72
6,Qg6,-0.79,-3.11,1.45,-0.31,-18.04
7,Qg7,-7.17,-19.37,-1.74,-9.15,-10.7
8,Qg8,-7.98,-23.59,-2.46,-12.14,-23.66
9,Qg9,0.1,-1.16,0.13,-0.38,-0.33
10,Qg10,0.79,-3.63,0.67,-1.52,-1.59
11,Qg11,-0.05,-3.62,1.48,-1.72,-18.44
12,Qg12,3,-1.67,4.49,-3.2,-15.14
13,Qg13,5.1,-7.85,6.52,2.02,0.56
14,AVG,-2.8738461538,-14.1461538462,0.2307692308,-6.03,-16.1976923077
