X,Class,naive,prio,bloom,bloom+prio,chain+prio
1,Qg1,1.0035872779,1.0525420549,1.0967377858,1.1503186783,1.1332746149
2,Qg2,1.0353482198,1.1314152778,1.1161898127,1.2246793358,1.2069065794
3,Qg3,0.9540713045,0.93675892,1.0895057658,1.1731374915,1.12715975
4,Qg4,1.0070426796,1.0283141318,1.0605853439,1.0539518146,1.0409112811
5,Qg5,1.0114017246,1.0057308227,1.0705851273,1.0507565401,1.0337851094
6,Qg6,1.0073252881,1.0137779099,1.0472569051,1.0383942675,1.0280674121
7,Qg7,1.0026438215,1.2435765958,1.0972043157,1.3573344135,1.3351749928
8,Qg8,0.9933370683,1.151898144,1.0733434005,1.2581463316,1.2341297895
9,Qg9,1.1008288006,1.1615555992,1.2070437553,1.2263607537,1.2167438037
10,Qg10,1.1262274191,1.1563593336,1.2303375581,1.2468652326,1.2372784226
11,Qg11,0.9791002964,0.982997333,1.0087913148,0.9961472828,0.9893870472
12,Qg12,1.0306520642,1.023300769,1.0601820121,1.012976577,1.0111084956
13,Qg13,1.1617628312,1.1393149106,1.3240217268,1.3623274299,1.3663572783
14,AVG,1.0317945228,1.0790416771,1.113983448,1.1654920115,1.1507911213
