,Naive,prio,bye,bye+prio,chain+prio
4g2,1,0.8232421685,1.041842783,0.9154902126,0.8669788166
4g4,1,0.9875168462,1.0002848139,0.995163483,0.9957137825
4g6,1,0.9655715154,1.0155048837,0.9835815778,0.8447594166
4g7,1,0.9540732772,1.0155266144,0.9399232002,0.8423826057
4g8,1,0.8026960838,1.0378364568,0.9089534182,0.8612913897
4g10,1,0.975338074,1.0253100839,1.00639172,0.8490959365
4g12,1,0.9643291382,1.0472213409,1.0175027555,0.7902067126
4g15,1,0.9774610097,1.0226887027,1.0047600716,0.8538150367
4g16,1,0.7670148455,1.0712239641,0.9687374646,0.890421295
4g21,1,0.8798897828,1.0151410549,0.9685447272,0.9542887502
4g23,1,0.8978109326,1.0533372247,0.9818680461,0.9681057063
4g26,1,0.8737347209,1.053878567,0.9628788455,0.8732069239
4g32,1,0.9572764723,0.9987469018,0.9772209062,0.976580091
GEO,1,0.9067443677,1.0304382091,0.9710775421,0.8877250188
