X,Class,onlyCPU,CPU+GPU,CPU+GPUD,onlyCPUD
1,Qg1,3.2711760484,1,1.5411678435,4.5488507768
2,Qg2,3.2768669046,1,1.5993466581,4.761118118
3,Qg3,3.3124248175,1,1.3209772441,3.2780596673
4,Qg4,2.2950788469,1,1.2557538682,2.5669907568
5,Qg5,1.5645841945,1,1.3434764744,2.0464293813
6,Qg6,2.5937592132,1,1.2647920146,2.8781432156
7,Qg7,16.9927649707,1,1.5473513315,17.8123870941
8,Qg8,13.2870318892,1,1.5603770309,14.9161003125
9,Qg9,2.0262451568,1,1.4410605817,2.1325342685
10,Qg10,2.341882656,1,1.6378350437,2.7192602316
11,Qg11,1.2610865411,1,1.0347576851,1.337980625
12,Qg12,1.8726939756,1,1.2284308131,2.4958150047
13,Qg13,4.2877036484,1,1.9305700464,4.7633788017
14,GEOMEAN,3.1931326962,1,1.4219477738,3.7219800377
