X,Class,onlyGPU,CPU+GPU,CPU+GPUD,onlyGPUD
1,4g2,1.129434574,1,1.335560111,1.608011502
2,4g8,1.115271743,1,1.347597722,1.587847434
3,4g16,1.121379934,1,1.261746906,1.596543858
4,4g10,1.063903371,1,1.453763714,1.564978494
5,4g12,1.062355147,1,1.383987574,1.530371604
6,4g15,1.060854061,1,1.459482093,1.560493026
7,4g23,1.075211657,1,1.505334177,1.734592113
8,4g26,1.085249389,1,1.494017857,1.75078555
9,4g4,1.014779742,1,0.9972502853,1.010956549
10,4g32,1.021773539,1,1.004192917,1.017923997
11,4g6,1.072552573,1,0.9576439767,1.027642928
12,4g7,1.036775063,1,0.9941809374,0.9997797202
13,4g21,1.08493824,1,1.14602852,1.179902852
14,GEOMEAN,1.072104058,1,1.240003032,1.36611076
