X,Class,onlyCPUD,CPU+GPUD,HitRateCPU,HitRateCPU+GPU
1,4g2,198,541,0.845774,0.715607
2,4g8,196,524,0.612837,0.606772
3,4g16,385,684,0.661115,0.618062
4,4g10,199,294,0.821593,0.763246
5,4g12,270,319,0.861271,0.720432
6,4g15,171,273,0.697974,0.698276
7,4g23,216,638,0.672746,0.654937
8,4g26,253,631,0.920349,0.861997
9,4g4,205,449,0.573223,0.568479
10,4g32,228,489,0.671562,0.663273
11,4g6,181,200,0.623219,0.603145
12,4g7,221,599,0.663323,0.663728
13,4g21,239,695,0.741086,0.729002
14,AVERAGE,228,487,0.7204670769,0.6820735385
