X,Class,nop,6040p,4060p,,6040/nop,4060/nop
1,4g2,1.335560111,1.3648401295,1.3747494513,,1.0219234,1.029343
2,4g8,1.3475977217,1.3817246907,1.3911830748,,1.0253243,1.032343
3,4g16,1.2617469063,1.2936997635,1.3067193513,,1.0253243,1.035643
4,4g10,1.4537637137,1.4280902465,1.4293899113,,0.98234,0.983234
5,4g12,1.3839875736,1.3610548995,1.3690875634,,0.98343,0.989234
6,4g15,1.4594820926,1.4277150054,1.4444835789,,0.978234,0.9897234
7,4g23,1.5053341765,1.4185411239,1.4918499048,,0.942343,0.99104234
8,4g26,1.4940178567,1.4260908408,1.4637242542,,0.954534,0.9797234
9,4g4,0.9972502871,0.9964863934,0.9896113499,,0.999234,0.99234
10,4g32,1.0041929173,0.9965007996,1.0034237055,,0.99234,0.999234
11,4g6,0.9576439765,0.8554059056,0.8917868002,,0.89324,0.93123
12,4g7,0.9941809373,0.897089227,0.945694733,,0.90234,0.95123
13,4g21,1.1480424679,1.1150132861,1.1289849629,,0.97123,0.9834
14,GEO,1.2401705192,1.2077786856,1.2289442363,,,
