X,Class,pris,naiveD,chaining,bypass,CPUalone
1,Qg1,2.7038197952,1.5411678435,2.6170979963,2.7945622441,4.5488507768
2,Qg2,2.8639466382,1.5993466581,2.7458469115,2.9068056253,4.761118118
3,Qg3,2.174823234,1.3209772441,2.4333892782,2.6702781667,3.2780596673
4,Qg4,1.2890199461,1.2557538682,1.3171943526,1.3102300564,2.5669907568
5,Qg5,1.346183071,1.3434764744,1.4178239951,1.3700379443,2.0464293813
6,Qg6,1.2707193621,1.2647920146,1.2634822912,1.291386228,2.8781432156
7,Qg7,3.8548771208,1.5473513315,4.1089222733,4.2696767747,17.8123870941
8,Qg8,3.8259497901,1.5603770309,4.0166695748,4.3025351977,14.9161003125
9,Qg9,1.5859739227,1.4410605817,1.7817183654,1.8235199793,2.1325342685
10,Qg10,1.833385471,1.6378350437,2.0899131301,2.180977097,2.7192602316
11,Qg11,1.0467728737,1.0347576851,1.1738775585,1.0524337169,1.337980625
12,Qg12,1.2405187937,1.2284308131,1.243247858,1.230044596,2.4958150047
13,Qg13,2.4584345894,1.9305700464,3.1194502702,3.5278203427,4.7633788017
14,GEO,1.927932643,1.4219477738,2.0534774326,2.1133863671,3.7219800377
