tick,bw-gau,bw-sc
1,32.085,43.66
2,39.955,61.8
3,43.9,62.39
4,44.305,59.82
5,44.275,60.195
6,48.14,60.55
7,48.115,60.9
8,48.545,61.23
9,48.53,61.545
10,48.11,61.855
11,54.095,62.15
12,56.43,62.44
13,56.42,62.715
14,56.66,62.985
15,58.65,60.99
16,58.845,61.255
17,58.83,61.51
18,58.585,61.755
19,59.58,62
20,59.74,62.235
21,60.735,60.59
22,62.86,60.82
23,63.855,61.05
24,64.965,61.275
25,65.965,61.49
26,66.965,60.09
27,66.965,60.3
28,66.88,60.51
29,66.875,60.71
30,66.955,60.91
31,66.955,61.105
32,67.03,61.295
33,67.03,61.48
34,66.89,61.66
35,66.885,61.835
36,66.955,62.01
37,66.955,62.18
38,67.02,62.35
39,67.015,62.515
40,67.075,62.675
41,67.07,62.835
42,66.96,62.985
43,66.955,63.14
44,67.005,63.285
45,67.01,63.43
46,67.055,60.09
47,67.05,60.3
48,67.1,60.51
49,67.095,60.71
50,67,60.91
51,66.995,61.105
52,67.035,61.295
53,67.035,61.48
54,67.08,61.66
55,67.075,61.835
56,67.115,62.01
57,67.11,62.18
58,67.005,62.35
59,67,62.515
60,67.025,62.675
61,67.02,62.835
62,67.04,62.985
63,67.035,63.14
64,67.055,63.285
65,67.055,63.43
66,66.97,60.09
67,66.965,60.3
68,66.985,60.51
69,66.985,60.71
70,67.005,60.91
71,67.005,61.105
72,67.025,61.295
73,67.025,61.48
74,66.95,61.66
75,66.95,61.835
76,66.975,62.01
77,66.97,62.18
78,66.995,62.35
79,67,62.515
80,67.025,62.675
81,67.02,62.835
82,66.955,62.985
83,66.96,63.14
84,66.98,63.285
85,66.98,63.43
86,67.005,60.09
87,67,60.3
88,67.025,60.51
89,67.025,60.71
90,66.97,60.91
91,66.97,61.105
92,66.995,61.295
93,66.99,61.48
94,67.01,61.66
95,67.01,61.835
96,67.03,62.01
97,67.03,62.18
98,66.975,62.35
99,66.975,62.515
100,66.995,62.675
101,66.995,62.835
102,67.015,62.985
103,67.015,63.14
104,67.03,63.285
105,67.035,63.43
106,66.985,
107,66.98,
108,67,
109,67,
110,67.015,
111,67.015,
112,67.03,
113,67.035,
114,66.99,
115,66.99,
116,67.005,
117,67.005,
118,67.02,
119,67.015,
120,67.035,
121,67.035,
122,66.99,
123,66.99,
124,67,
125,67,
126,67.01,
127,67.01,
128,67.02,
129,67.02,
130,66.98,
131,66.98,
132,66.99,
133,66.99,
134,67.005,
135,67,
136,67.015,
137,67.01,
138,66.975,
139,66.975,
140,66.99,
141,66.99,
142,67.01,
143,67.01,
144,67.025,
145,67.02,
146,66.99,
147,66.99,
148,67.005,
149,67.005,
150,67.015,
151,67.015,
152,67.03,
153,67.03,
154,67.005,
155,67.005,
156,67.015,
157,67.015,
158,67.03,
159,67.025,
160,67.04,
161,67.045,
162,67.015,
163,67.01,
164,67.03,
165,67.025,
166,67.04,
167,67.04,
168,67.05,
169,67.05,
170,67.025,
171,67.025,
172,67.035,
173,67.035,
174,67.045,
175,67.045,
176,67.055,
177,67.06,
178,67.035,
179,67.03,
180,67.04,
181,67.04,
182,67.055,
183,67.055,
184,67.065,
185,67.06,
186,67.035,
187,67.03,
188,67.035,
189,67.035,
190,67.04,
191,67.04,
192,67.045,
193,67.045,
194,67.015,
195,67.015,
196,67.02,
197,67.02,
198,67.025,
199,67.025,
200,67.035,
201,67.035,
202,67.01,
203,67.005,
204,67.01,
205,67.015,
206,67.02,
207,67.02,
208,67.03,
209,67.03,
210,67.005,
211,67.005,
212,67.015,
213,67.01,
214,67.02,
215,67.02,
216,67.03,
217,67.025,
218,67.005,
219,67.005,
220,67.015,
221,67.015,
222,67.02,
223,67.02,
224,67.025,
225,67.03,
226,67.005,
227,67.01,
228,67.015,
229,67.015,
230,67.02,
231,67.02,
232,67.03,
233,67.025,
234,67.01,
235,67.005,
236,67.015,
237,67.015,
238,67.025,
239,67.02,
240,67.03,
241,67.03,
242,67.01,
243,67.005,
244,67.015,
245,67.015,
246,67.02,
247,67.02,
248,67.03,
249,67.03,
250,67.01,
251,67.005,
252,67.01,
253,67.015,
254,67.015,
255,67.015,
256,67.02,
257,67.02,
258,67,
259,67,
260,67.005,
261,67.005,
262,67.01,
263,67.01,
264,67.015,
265,67.015,
266,67,
267,67,
268,67.005,
269,67.005,
270,67.015,
271,67.01,
272,67.02,
273,67.02,
274,67,
275,67,
276,67.01,
277,67.01,
278,67.015,
279,67.015,
280,67.02,
281,67.02,
282,67.01,
283,67.005,
284,67.015,
285,67.015,
286,67.025,
287,67.025,
288,67.025,
289,67.025,
290,67.015,
291,67.015,
292,67.02,
293,67.02,
294,67.03,
295,67.025,
296,67.035,
297,67.035,
298,67.015,
299,67.02,
300,67.025,
301,67.025,
302,67.035,
303,67.035,
304,67.04,
305,67.035,
306,67.025,
307,67.02,
308,67.03,
309,67.03,
310,67.035,
311,67.035,
312,67.04,
313,67.04,
314,67.025,
315,67.025,
316,67.03,
317,67.03,
318,67.03,
319,67.03,
